iter	MultiClass
0	1.733383995
1	1.69297821
2	1.663569292
3	1.641328485
4	1.624303615
5	1.610907904
6	1.600528569
7	1.591994925
8	1.585188774
9	1.579735391
10	1.575433003
11	1.571641254
12	1.56890921
13	1.566359014
14	1.564178953
15	1.56249351
16	1.560842528
17	1.559553789
18	1.558235289
19	1.5572135
20	1.556377506
21	1.555452352
22	1.554690317
23	1.553834552
24	1.553125282
25	1.552625227
26	1.552144388
27	1.551601189
28	1.551040314
29	1.55051362
30	1.550055223
31	1.549407449
32	1.548907013
33	1.548338971
34	1.547687136
35	1.547225487
36	1.546713456
37	1.546241219
38	1.54584349
39	1.545501893
40	1.544938225
41	1.54465519
42	1.544157697
43	1.543796416
44	1.543365893
45	1.542885558
46	1.542527282
47	1.542002656
48	1.541579061
49	1.54130521
50	1.540818049
51	1.540465474
52	1.540142127
53	1.539887168
54	1.539570243
55	1.539182988
56	1.538822044
57	1.538483514
58	1.538149609
59	1.537775951
60	1.537374422
61	1.53708618
62	1.536895616
63	1.53649696
64	1.53623972
65	1.536025002
66	1.535843127
67	1.535451866
68	1.535089468
69	1.534789337
70	1.534501668
71	1.53424787
72	1.533853827
73	1.533565765
74	1.533292098
75	1.533074144
76	1.532776498
77	1.532421548
78	1.532046271
79	1.531719571
80	1.531471915
81	1.531131224
82	1.530833448
83	1.530617178
84	1.53041743
85	1.530175238
86	1.52996783
87	1.529725665
88	1.529297346
89	1.529088202
90	1.528810426
91	1.528680515
92	1.528436212
93	1.52821823
94	1.528025031
95	1.527895601
96	1.527520399
97	1.52732054
98	1.527089484
99	1.526732859
100	1.526413189
101	1.526105077
102	1.525818267
103	1.52556842
104	1.525440282
105	1.525176321
106	1.524779581
107	1.524567591
108	1.524405688
109	1.524157689
110	1.523827243
111	1.523601935
112	1.523319799
113	1.522927869
114	1.522651567
115	1.522402883
116	1.52214222
117	1.522005419
118	1.521910123
119	1.521673613
120	1.521535261
121	1.521337094
122	1.521190014
123	1.520995987
124	1.520778267
125	1.520556215
126	1.520244729
127	1.519973803
128	1.519830468
129	1.519690765
130	1.519484699
131	1.519177593
132	1.519067102
133	1.518858299
134	1.518685095
135	1.518427868
136	1.51823722
137	1.518070626
138	1.51790343
139	1.517738491
140	1.517489031
141	1.517268455
142	1.517038859
143	1.516948823
144	1.516837486
145	1.516641704
146	1.516537335
147	1.516291808
148	1.516148278
149	1.515995831
150	1.515711417
151	1.515639717
152	1.515463534
153	1.515268697
154	1.515062387
155	1.514907035
156	1.514833244
157	1.514679863
158	1.51449301
159	1.51433854
160	1.514075939
161	1.513830232
162	1.513622187
163	1.513425525
164	1.513191402
165	1.513073
166	1.512891656
167	1.51274221
168	1.512628121
169	1.512426859
170	1.512239831
171	1.512168444
172	1.512034419
173	1.511833052
174	1.511603772
175	1.511431164
176	1.511252654
177	1.511114226
178	1.511010226
179	1.510863202
180	1.510738246
181	1.510557365
182	1.510407114
183	1.510213043
184	1.510061403
185	1.509869241
186	1.50971751
187	1.509615857
188	1.509477597
189	1.509343318
190	1.509230921
191	1.509165851
192	1.508985205
193	1.508763485
194	1.508560165
195	1.508506186
196	1.508351253
197	1.508276916
198	1.508152472
199	1.507970878
200	1.507780596
201	1.507674161
202	1.507570118
203	1.507479255
204	1.507332217
205	1.507259468
206	1.507137676
207	1.507082327
208	1.50695134
209	1.506840246
210	1.506729432
211	1.506579868
212	1.506438827
213	1.506361842
214	1.506232781
215	1.506123836
216	1.505997207
217	1.505864532
218	1.505748291
219	1.505667802
220	1.505564175
221	1.505499833
222	1.505418011
223	1.505303016
224	1.505178764
225	1.505040022
226	1.504952176
227	1.504885105
228	1.504798701
229	1.504702335
230	1.504601508
231	1.504490985
232	1.504413404
233	1.504288533
234	1.504185781
235	1.504104898
236	1.504025011
237	1.503908319
238	1.503838564
239	1.503750334
240	1.503697253
241	1.503638573
242	1.50351579
243	1.503429763
244	1.503342934
245	1.50321634
246	1.503046025
247	1.502953212
248	1.502857532
249	1.502767069
250	1.502659329
251	1.502608553
252	1.502511349
253	1.502403099
254	1.502334886
255	1.502226751
256	1.502113631
257	1.502047204
258	1.501951016
259	1.501894084
260	1.501806178
261	1.501734917
262	1.50164793
263	1.501574186
264	1.501505332
265	1.501406113
266	1.501323324
267	1.501263946
268	1.501182038
269	1.501089258
270	1.501018
271	1.500945624
272	1.500865104
273	1.500815532
274	1.500761176
275	1.50070357
276	1.500631032
277	1.500551497
278	1.500490325
279	1.500423155
