iter	Passed	Remaining
0	67	67234
1	132	66108
2	198	66122
3	265	66111
4	329	65528
5	396	65611
6	463	65799
7	533	66209
8	601	66258
9	668	66147
10	733	65938
11	796	65571
12	863	65521
13	929	65434
14	993	65242
15	1060	65222
16	1123	64971
17	1193	65104
18	1259	65027
19	1326	64994
20	1392	64937
21	1459	64864
22	1525	64819
23	1591	64735
24	1655	64557
25	1723	64574
26	1789	64499
27	1857	64475
28	1924	64446
29	1991	64395
30	2057	64306
31	2123	64225
32	2187	64109
33	2257	64143
34	2321	64015
35	2386	63916
36	2451	63803
37	2514	63656
38	2577	63511
39	2642	63413
40	2705	63282
41	2771	63205
42	2837	63155
43	2904	63115
44	2969	63018
45	3031	62861
46	3091	62676
47	3157	62621
48	3224	62578
49	3288	62486
50	3350	62338
51	3414	62245
52	3477	62140
53	3541	62046
54	3606	61965
55	3672	61915
56	3736	61814
57	3799	61704
58	3866	61664
59	3930	61578
60	3994	61496
61	4061	61452
62	4125	61365
63	4187	61240
64	4251	61159
65	4313	61049
66	4377	60961
67	4442	60891
68	4504	60780
69	4568	60691
70	4630	60591
71	4694	60504
72	4758	60422
73	4821	60336
74	4884	60241
75	4950	60182
76	5019	60164
77	5085	60110
78	5152	60070
79	5215	59973
80	5280	59912
81	5343	59823
82	5411	59789
83	5475	59707
84	5541	59648
85	5606	59586
86	5670	59506
87	5732	59414
88	5794	59313
89	5855	59203
90	5918	59123
91	5982	59042
92	6044	58951
93	6108	58880
94	6167	58749
95	6228	58647
96	6292	58574
97	6354	58490
98	6416	58398
99	6478	58306
100	6545	58259
101	6606	58162
102	6669	58079
103	6733	58015
104	6794	57916
105	6856	57830
106	6918	57738
107	6980	57656
108	7040	57552
109	7099	57444
110	7161	57357
111	7223	57269
112	7286	57194
113	7348	57112
114	7413	57050
115	7473	56953
116	7538	56892
117	7599	56805
118	7662	56730
119	7729	56681
120	7791	56602
121	7857	56548
122	7923	56494
123	7991	56454
124	8052	56368
125	8113	56281
126	8178	56218
127	8242	56154
128	8305	56081
129	8366	55992
130	8430	55922
131	8495	55866
132	8558	55788
133	8621	55721
134	8683	55635
135	8749	55581
136	8815	55533
137	8881	55475
138	8942	55393
139	9004	55312
140	9065	55230
141	9135	55198
142	9199	55134
143	9262	55058
144	9328	55003
145	9394	54953
146	9463	54912
147	9527	54849
148	9594	54799
149	9662	54753
150	9729	54701
151	9795	54646
152	9866	54622
153	9930	54555
154	9995	54489
155	10057	54413
156	10120	54341
157	10187	54287
158	10254	54239
159	10321	54189
160	10384	54113
161	10448	54050
162	10510	53970
163	10574	53906
164	10638	53838
165	10702	53768
166	10761	53679
167	10822	53598
168	10884	53523
169	10947	53449
170	11009	53372
171	11073	53307
172	11142	53262
173	11214	53235
174	11284	53198
175	11351	53146
176	11418	53094
177	11485	53039
178	11547	52961
179	11610	52893
180	11675	52828
181	11737	52753
182	11803	52696
183	11867	52629
184	11929	52555
185	11990	52474
186	12052	52401
187	12110	52309
188	12172	52232
189	12235	52160
190	12296	52083
191	12357	52003
192	12420	51935
193	12485	51872
194	12554	51825
195	12620	51771
196	12688	51718
197	12752	51652
198	12815	51582
199	12881	51525
200	12941	51445
201	13001	51363
202	13063	51288
203	13122	51205
204	13187	51142
205	13250	51071
206	13309	50987
207	13372	50919
208	13435	50847
209	13498	50781
210	13557	50694
211	13620	50627
212	13680	50545
213	13742	50474
214	13808	50417
215	13870	50346
216	13930	50265
217	13993	50198
218	14054	50120
219	14113	50039
220	14177	49973
221	14243	49916
222	14306	49848
223	14368	49776
224	14432	49711
